Namespace(H=1, L=1, batch_size=32, cg_weight=1, dataset='book', debug=True, dim=8, gpu_id='1', kge_interval=3, l2_weight=0.0005, lr_kge=4e-06, lr_rs=4e-05, n_epochs=50, ndcg=False, seed=5)
reading rating file ...
Loading datasets splits...
reading KG file ...
data loaded.
epoch 0    train auc: 0.5915  acc: 0.5524    eval auc: 0.5844  acc: 0.5490    test auc: 0.5863  acc: 0.5533
epoch 1    train auc: 0.6719  acc: 0.6037    eval auc: 0.6755  acc: 0.6128    test auc: 0.6789  acc: 0.6178
epoch 2    train auc: 0.6977  acc: 0.5185    eval auc: 0.7022  acc: 0.5245    test auc: 0.7044  acc: 0.5278
epoch 3    train auc: 0.7132  acc: 0.5038    eval auc: 0.7181  acc: 0.5057    test auc: 0.7195  acc: 0.5082
epoch 4    train auc: 0.7252  acc: 0.5026    eval auc: 0.7285  acc: 0.5040    test auc: 0.7294  acc: 0.5060
epoch 5    train auc: 0.7418  acc: 0.5027    eval auc: 0.7360  acc: 0.5041    test auc: 0.7367  acc: 0.5056
precision: 0.0480	0.0264	0.0166	0.0127	0.0105	0.0081	0.0061	
recall: 0.0689	0.0886	0.1069	0.1178	0.1275	0.1408	0.1679	
f1: 0.0565	0.0407	0.0287	0.0229	0.0193	0.0153	0.0117	
ndcg: 0.0880	0.1022	0.1108	0.1157	0.1191	0.1233	0.1304	

epoch 6    train auc: 0.7633  acc: 0.5146    eval auc: 0.7417  acc: 0.5194    test auc: 0.7424  acc: 0.5226
precision: 0.0480	0.0264	0.0166	0.0126	0.0104	0.0081	0.0061	
recall: 0.0689	0.0886	0.1068	0.1182	0.1274	0.1410	0.1684	
f1: 0.0565	0.0407	0.0288	0.0228	0.0193	0.0152	0.0117	
ndcg: 0.0880	0.1022	0.1109	0.1156	0.1191	0.1233	0.1305	

epoch 7    train auc: 0.7863  acc: 0.5689    eval auc: 0.7454  acc: 0.5655    test auc: 0.7462  acc: 0.5661
precision: 0.0481	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1068	0.1176	0.1274	0.1413	0.1685	
f1: 0.0566	0.0408	0.0288	0.0228	0.0194	0.0153	0.0117	
ndcg: 0.0882	0.1023	0.1111	0.1156	0.1194	0.1235	0.1307	

epoch 8    train auc: 0.8044  acc: 0.6715    eval auc: 0.7479  acc: 0.6462    test auc: 0.7491  acc: 0.6453
precision: 0.0481	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1068	0.1176	0.1274	0.1413	0.1688	
f1: 0.0566	0.0408	0.0287	0.0228	0.0194	0.0153	0.0117	
ndcg: 0.0882	0.1023	0.1111	0.1156	0.1194	0.1235	0.1308	

epoch 9    train auc: 0.8180  acc: 0.7377    eval auc: 0.7499  acc: 0.7028    test auc: 0.7514  acc: 0.7044
precision: 0.0481	0.0266	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1068	0.1176	0.1274	0.1416	0.1704	
f1: 0.0566	0.0410	0.0287	0.0228	0.0194	0.0153	0.0118	
ndcg: 0.0882	0.1025	0.1111	0.1156	0.1194	0.1235	0.1308	

epoch 10    train auc: 0.8282  acc: 0.7469    eval auc: 0.7518  acc: 0.7161    test auc: 0.7536  acc: 0.7184
precision: 0.0482	0.0266	0.0166	0.0126	0.0105	0.0081	0.0062	
recall: 0.0690	0.0887	0.1068	0.1176	0.1278	0.1426	0.1709	
f1: 0.0568	0.0410	0.0287	0.0228	0.0195	0.0154	0.0119	
ndcg: 0.0884	0.1025	0.1111	0.1156	0.1195	0.1238	0.1309	

epoch 11    train auc: 0.8360  acc: 0.7426    eval auc: 0.7534  acc: 0.7142    test auc: 0.7555  acc: 0.7187
epoch 12    train auc: 0.8418  acc: 0.7354    eval auc: 0.7549  acc: 0.7108    test auc: 0.7572  acc: 0.7144
epoch 13    train auc: 0.8461  acc: 0.7333    eval auc: 0.7557  acc: 0.7086    test auc: 0.7581  acc: 0.7128
epoch 14    train auc: 0.8494  acc: 0.7311    eval auc: 0.7564  acc: 0.7079    test auc: 0.7590  acc: 0.7099
epoch 15    train auc: 0.8520  acc: 0.7303    eval auc: 0.7569  acc: 0.7066    test auc: 0.7596  acc: 0.7086
epoch 16    train auc: 0.8540  acc: 0.7323    eval auc: 0.7571  acc: 0.7078    test auc: 0.7598  acc: 0.7101
epoch 17    train auc: 0.8557  acc: 0.7354    eval auc: 0.7571  acc: 0.7100    test auc: 0.7599  acc: 0.7118
epoch 18    train auc: 0.8572  acc: 0.7356    eval auc: 0.7574  acc: 0.7091    test auc: 0.7603  acc: 0.7111
epoch 19    train auc: 0.8584  acc: 0.7403    eval auc: 0.7572  acc: 0.7102    test auc: 0.7601  acc: 0.7141




Namespace(H=1, L=1, batch_size=32, cg_weight=1, dataset='book', debug=True, dim=8, gpu_id='1', kge_interval=3, l2_weight=0.0005, lr_kge=4e-06, lr_rs=4e-05, n_epochs=50, ndcg=False, seed=5)
reading rating file ...
Loading datasets splits...
reading KG file ...
data loaded.
epoch 0    train auc: 0.5865  acc: 0.5415    eval auc: 0.5761  acc: 0.5380    test auc: 0.5789  acc: 0.5411
epoch 1    train auc: 0.6710  acc: 0.6080    eval auc: 0.6753  acc: 0.6170    test auc: 0.6784  acc: 0.6217
epoch 2    train auc: 0.6971  acc: 0.5125    eval auc: 0.7022  acc: 0.5160    test auc: 0.7041  acc: 0.5193
epoch 3    train auc: 0.7127  acc: 0.5021    eval auc: 0.7182  acc: 0.5015    test auc: 0.7193  acc: 0.5036
epoch 4    train auc: 0.7251  acc: 0.5018    eval auc: 0.7287  acc: 0.5008    test auc: 0.7294  acc: 0.5032
epoch 5    train auc: 0.7424  acc: 0.5024    eval auc: 0.7363  acc: 0.5043    test auc: 0.7368  acc: 0.5060
precision: 0.0479	0.0264	0.0166	0.0127	0.0105	0.0081	0.0061	
recall: 0.0689	0.0886	0.1068	0.1178	0.1278	0.1417	0.1680	
f1: 0.0565	0.0407	0.0288	0.0229	0.0195	0.0153	0.0117	
ndcg: 0.0878	0.1021	0.1107	0.1156	0.1193	0.1233	0.1303	

epoch 6    train auc: 0.7637  acc: 0.5155    eval auc: 0.7420  acc: 0.5214    test auc: 0.7424  acc: 0.5234
precision: 0.0479	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1068	0.1176	0.1275	0.1412	0.1683	
f1: 0.0565	0.0409	0.0288	0.0228	0.0194	0.0153	0.0117	
ndcg: 0.0878	0.1023	0.1107	0.1152	0.1191	0.1230	0.1304	

epoch 7    train auc: 0.7867  acc: 0.5780    eval auc: 0.7457  acc: 0.5743    test auc: 0.7462  acc: 0.5732
precision: 0.0479	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1061	0.1176	0.1279	0.1415	0.1689	
f1: 0.0565	0.0409	0.0287	0.0228	0.0195	0.0153	0.0117	
ndcg: 0.0878	0.1023	0.1106	0.1152	0.1191	0.1231	0.1303	

epoch 8    train auc: 0.8046  acc: 0.6720    eval auc: 0.7480  acc: 0.6460    test auc: 0.7489  acc: 0.6467
precision: 0.0479	0.0264	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0892	0.1061	0.1176	0.1279	0.1414	0.1692	
f1: 0.0565	0.0408	0.0287	0.0228	0.0195	0.0153	0.0117	
ndcg: 0.0878	0.1021	0.1106	0.1152	0.1191	0.1231	0.1304	

epoch 9    train auc: 0.8181  acc: 0.7383    eval auc: 0.7500  acc: 0.7045    test auc: 0.7513  acc: 0.7061
precision: 0.0479	0.0264	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0892	0.1061	0.1176	0.1279	0.1413	0.1704	
f1: 0.0565	0.0408	0.0287	0.0228	0.0195	0.0153	0.0118	
ndcg: 0.0878	0.1021	0.1106	0.1152	0.1191	0.1231	0.1306	

epoch 10    train auc: 0.8283  acc: 0.7459    eval auc: 0.7518  acc: 0.7171    test auc: 0.7536  acc: 0.7188
precision: 0.0479	0.0264	0.0166	0.0126	0.0105	0.0082	0.0061	
recall: 0.0689	0.0892	0.1061	0.1175	0.1279	0.1424	0.1709	
f1: 0.0565	0.0408	0.0287	0.0227	0.0195	0.0155	0.0119	
ndcg: 0.0878	0.1021	0.1106	0.1151	0.1191	0.1237	0.1306	

epoch 11    train auc: 0.8360  acc: 0.7414    eval auc: 0.7533  acc: 0.7143    test auc: 0.7554  acc: 0.7181
epoch 12    train auc: 0.8419  acc: 0.7339    eval auc: 0.7549  acc: 0.7096    test auc: 0.7572  acc: 0.7135
epoch 13    train auc: 0.8461  acc: 0.7320    eval auc: 0.7556  acc: 0.7081    test auc: 0.7581  acc: 0.7119
epoch 14    train auc: 0.8494  acc: 0.7322    eval auc: 0.7561  acc: 0.7085    test auc: 0.7587  acc: 0.7111
epoch 15    train auc: 0.8520  acc: 0.7311    eval auc: 0.7566  acc: 0.7070    test auc: 0.7593  acc: 0.7094
epoch 16    train auc: 0.8540  acc: 0.7322    eval auc: 0.7568  acc: 0.7075    test auc: 0.7597  acc: 0.7100
epoch 17    train auc: 0.8557  acc: 0.7354    eval auc: 0.7570  acc: 0.7094    test auc: 0.7598  acc: 0.7113
epoch 18    train auc: 0.8571  acc: 0.7372    eval auc: 0.7571  acc: 0.7098    test auc: 0.7601  acc: 0.7124
epoch 19    train auc: 0.8584  acc: 0.7398    eval auc: 0.7571  acc: 0.7099    test auc: 0.7601  acc: 0.7136




Namespace(H=1, L=1, batch_size=32, cg_weight=1, dataset='book', debug=True, dim=8, gpu_id='1', kge_interval=3, l2_weight=0.0005, lr_kge=4e-06, lr_rs=4e-05, n_epochs=50, ndcg=False, seed=5)
reading rating file ...
Loading datasets splits...
reading KG file ...
data loaded.
epoch 0    train auc: 0.5857  acc: 0.5575    eval auc: 0.5847  acc: 0.5577    test auc: 0.5854  acc: 0.5574
epoch 1    train auc: 0.6710  acc: 0.6061    eval auc: 0.6750  acc: 0.6147    test auc: 0.6779  acc: 0.6193
epoch 2    train auc: 0.6974  acc: 0.5233    eval auc: 0.7023  acc: 0.5310    test auc: 0.7043  acc: 0.5349
epoch 3    train auc: 0.7130  acc: 0.5021    eval auc: 0.7185  acc: 0.5012    test auc: 0.7195  acc: 0.5039
epoch 4    train auc: 0.7250  acc: 0.5018    eval auc: 0.7288  acc: 0.5006    test auc: 0.7293  acc: 0.5033
epoch 5    train auc: 0.7420  acc: 0.5028    eval auc: 0.7363  acc: 0.5049    test auc: 0.7367  acc: 0.5062
precision: 0.0480	0.0264	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0886	0.1069	0.1178	0.1278	0.1413	0.1672	
f1: 0.0565	0.0407	0.0288	0.0228	0.0194	0.0153	0.0117	
ndcg: 0.0880	0.1022	0.1110	0.1153	0.1193	0.1234	0.1304	

epoch 6    train auc: 0.7634  acc: 0.5180    eval auc: 0.7420  acc: 0.5240    test auc: 0.7424  acc: 0.5273
precision: 0.0480	0.0264	0.0166	0.0126	0.0105	0.0080	0.0061	
recall: 0.0689	0.0886	0.1069	0.1182	0.1277	0.1411	0.1686	
f1: 0.0565	0.0407	0.0288	0.0228	0.0194	0.0152	0.0118	
ndcg: 0.0880	0.1022	0.1110	0.1155	0.1192	0.1231	0.1305	

epoch 7    train auc: 0.7863  acc: 0.5794    eval auc: 0.7456  acc: 0.5757    test auc: 0.7463  acc: 0.5754
precision: 0.0480	0.0264	0.0166	0.0126	0.0105	0.0080	0.0061	
recall: 0.0689	0.0886	0.1061	0.1176	0.1278	0.1411	0.1696	
f1: 0.0565	0.0407	0.0287	0.0228	0.0195	0.0152	0.0118	
ndcg: 0.0880	0.1022	0.1108	0.1154	0.1193	0.1231	0.1308	

epoch 8    train auc: 0.8044  acc: 0.6765    eval auc: 0.7481  acc: 0.6518    test auc: 0.7490  acc: 0.6511
precision: 0.0480	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1061	0.1176	0.1278	0.1415	0.1700	
f1: 0.0565	0.0409	0.0287	0.0228	0.0194	0.0153	0.0118	
ndcg: 0.0880	0.1024	0.1108	0.1154	0.1193	0.1233	0.1307	

epoch 9    train auc: 0.8180  acc: 0.7407    eval auc: 0.7502  acc: 0.7073    test auc: 0.7516  acc: 0.7102
precision: 0.0480	0.0265	0.0166	0.0126	0.0105	0.0081	0.0061	
recall: 0.0689	0.0887	0.1061	0.1176	0.1278	0.1428	0.1698	
f1: 0.0565	0.0409	0.0287	0.0228	0.0194	0.0154	0.0118	
